,N,pi,отклонение
0,100,3.0,4.507034144862795
1,200,3.08,1.9605550553924669
2,300,3.12,0.6873155106573032
3,400,2.97,5.461963803414161
4,500,3.208,2.1138114877600573
5,600,3.1466666666666665,0.16151085249946326
6,700,3.1085714285714285,1.051098237724497
7,800,3.175,1.0633888633535364
8,900,3.168888888888889,0.8688661551301208
9,1000,3.168,0.8405719430248935
10,1100,3.1054545454545455,1.1503117087428198
11,1200,3.1133333333333333,0.8995221014465019
12,1300,3.206153846153846,2.055046585695351
13,1400,3.197142857142857,1.768217897046219
14,1500,3.176,1.0952198519719263
15,1600,3.0825,1.880977583846521
16,1700,3.1223529411764708,0.6124190668493499
17,1800,3.097777777777778,1.3946708132879466
18,1900,3.1242105263157893,0.553290295422031
19,2000,3.27,4.087332782099554
20,2100,3.072380952380952,2.2030768734372677
21,2200,3.109090909090909,1.0345626592214479
22,2300,3.16,0.5859240340778606
23,2400,3.195,1.7000086357211186
24,2500,3.1072,1.094752164972553
25,2600,3.16,0.5859240340778606
26,2700,3.1674074074074072,0.8217091349547324
27,2800,3.1271428571428572,0.45995130624031066
28,2900,3.133793103448276,0.24826739178310828
29,3000,3.148,0.2039521706573115
30,3100,3.150967741935484,0.2984183304279781
31,3200,3.11375,0.8862591895221752
32,3300,3.124848484848485,0.5329834446287977
33,3400,3.1470588235294117,0.17399359313412452
34,3500,3.198857142857143,1.8227853061062993
35,3600,3.1555555555555554,0.4444529735517235
36,3700,3.149189189189189,0.24180523820348174
37,3800,3.0957894736842104,1.4579604982601715
38,3900,3.147692307692308,0.19415802031319376
39,4000,3.124,0.5599915561837868
40,4100,3.171707317073171,0.9585795105857134
41,4200,3.158095238095238,0.525293579566657
42,4300,3.161860465116279,0.6451444780190294
43,4400,3.130909090909091,0.34006836209317276
44,4500,3.2062222222222223,2.0572230635496025
45,4600,3.1269565217391304,0.4658825463555399
46,4700,3.146382978723404,0.15248078480630678
47,4800,3.105,1.1647803399329932
48,4900,3.1330612244897957,0.2715638225805245
49,5000,3.1608,0.6113888249725611
